[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 1.3870324920731434e-11
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 1.9388241463514217e-10
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 6.365173228310302e-12
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 3.482330702164205e-12
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 583] DEBUG: chunk_s obtained with N=300124, NFFT=60000, Fs=1000, detrend=linear
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 586] DEBUG: RMS integral: 1.483940952468617e-12
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 593] DEBUG: Chunks candidates [13, 14, 15]
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 599] DEBUG: Consecutive indices: [[13, 14, 15]]
[07-05-21 10:40:00 | Arc_functions.py             psd(), line 600] INFO: Optimal index chosen: [13, 14, 15]
[07-05-21 10:40:35 | Arc_functions.py             psd(), line 610] DEBUG: Size of the optimal data: 900372
[07-05-21 10:40:35 | Arc_functions.py             psd(), line 616] INFO: Optimal data selected are from 22/11/20 23:41:21 to 22/11/20 23:56:21
[07-05-21 10:40:35 | Arc_functions.py             psd(), line 621] DEBUG: opt_psd obtained with N=900372, NFFT=60000, Fs=1000, detrend=linear, noverlap = 30000
[07-05-21 10:40:35 | Arc_functions.py             psd(), line 630] INFO: Building plot
[07-05-21 10:40:38 | Arc_functions.py             psd(), line 650] INFO: Plot succesfully built
